Iterations,Trails,Inputs,Action,Reward,Waypoint,Penalty
8,13,"{'light': 'red', 'oncoming': None, 'right': None, 'left': 'right'}",None,0,forward,0
8,14,"{'light': 'red', 'oncoming': None, 'right': None, 'left': 'right'}",None,0,forward,0
8,15,"{'light': 'red', 'oncoming': None, 'right': None, 'left': 'right'}",None,0,forward,0
8,16,"{'light': 'green', 'oncoming': None, 'right': None, 'left': 'right'}",forward,2,forward,0
8,17,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,12,right,0
9,1,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
9,2,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
9,3,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
9,4,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
9,5,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
9,6,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2,forward,0
9,7,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
9,8,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
9,9,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2,forward,0
9,10,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2,forward,0
9,11,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,12,right,0
10,1,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2,right,0
10,2,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2,right,0
10,3,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2,right,0
10,4,"{'light': 'red', 'oncoming': 'left', 'right': None, 'left': None}",left,-1,left,-1
10,5,"{'light': 'red', 'oncoming': 'left', 'right': None, 'left': None}",left,-1,left,-1
10,6,"{'light': 'green', 'oncoming': 'right', 'right': None, 'left': None}",left,-1,left,-1
10,7,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",left,2,left,0
10,8,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2,forward,0
10,9,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,12,forward,0
11,1,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,left,0
11,2,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,left,0
11,3,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,-0.5,left,-0.5
11,4,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2,right,0
11,5,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2,right,0
11,6,"{'light': 'green', 'oncoming': None, 'right': 'forward', 'left': None}",forward,2,forward,0
11,7,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
11,8,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
11,9,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2,forward,0
11,10,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2,forward,0
11,11,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
11,12,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
11,13,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2,forward,0
11,14,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,-0.5,left,-0.5
11,15,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2,right,0
11,16,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2,right,0
11,17,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",right,2,right,0
11,18,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",left,12,left,0
12,1,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2,right,0
12,2,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",right,2,right,0
12,3,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2,forward,0
12,4,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2,forward,0
12,5,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
12,6,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
12,7,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
12,8,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
12,9,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2,forward,0
12,10,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2,forward,0
12,11,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
12,12,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
12,13,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2,forward,0
12,14,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,-0.5,left,-0.5
12,15,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",right,2,right,0
12,16,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",right,2,right,0
12,17,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",right,2,right,0
12,18,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",left,2,left,0
12,19,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,12,forward,0
13,1,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",left,2,left,0
13,2,"{'light': 'red', 'oncoming': 'left', 'right': None, 'left': None}",None,0,forward,0
13,3,"{'light': 'red', 'oncoming': 'left', 'right': None, 'left': None}",None,0,forward,0
13,4,"{'light': 'red', 'oncoming': 'left', 'right': None, 'left': None}",None,0,forward,0
