Iteration,Trial,Light,Oncoming,Right,Left,Action,Waypoint,Reward
86,16,green,None,None,None,right,right,2
86,17,red,None,None,None,None,left,0
86,18,red,None,None,None,None,left,0
86,19,green,None,None,None,right,left,-0.5
86,20,red,None,None,None,right,right,2
86,21,red,None,None,None,right,right,2
87,1,green,None,forward,None,right,left,-0.5
87,2,red,None,None,None,right,right,2
87,3,red,None,None,None,right,right,2
87,4,red,None,None,None,None,forward,0
87,5,red,None,None,None,None,forward,0
87,6,green,None,None,None,forward,forward,2
87,7,green,None,None,None,right,right,2
87,8,red,None,None,None,None,forward,0
87,9,green,None,None,None,forward,forward,2
87,10,red,None,None,None,None,forward,0
87,11,red,None,None,None,None,forward,0
87,12,red,None,None,None,None,forward,0
87,13,green,None,None,None,forward,forward,2
87,14,green,None,None,None,forward,forward,12
88,1,red,None,None,None,right,right,2
88,2,red,None,None,None,right,right,2
88,3,green,None,None,None,forward,forward,2
88,4,green,None,None,None,forward,forward,12
89,1,green,None,None,None,right,right,2
89,2,red,None,None,None,None,forward,0
89,3,red,None,None,None,None,forward,0
89,4,red,None,None,None,None,forward,0
89,5,red,None,None,None,None,forward,0
89,6,green,None,None,None,forward,forward,2
89,7,green,None,None,None,forward,forward,2
89,8,green,None,forward,None,forward,forward,2
89,9,red,None,None,None,None,forward,0
89,10,red,None,None,None,None,forward,0
89,11,red,None,None,None,None,forward,0
89,12,red,None,None,None,None,forward,0
89,13,green,None,None,None,forward,forward,2
89,14,green,None,None,None,right,right,12
90,1,green,None,None,None,forward,forward,2
90,2,green,None,None,None,forward,forward,2
90,3,green,None,None,None,forward,forward,2
90,4,red,None,None,None,None,forward,0
90,5,red,None,None,None,None,forward,0
90,6,green,None,None,None,forward,forward,2
90,7,green,None,None,None,forward,forward,2
90,8,green,None,None,None,right,right,12
91,1,green,None,right,None,forward,forward,2
91,2,red,None,None,None,None,forward,0
91,3,red,None,None,None,None,forward,0
91,4,red,None,None,None,None,forward,0
91,5,green,None,None,None,forward,forward,2
91,6,red,None,None,None,None,forward,0
91,7,red,None,None,None,None,forward,0
91,8,red,None,None,None,None,forward,0
91,9,red,None,None,None,None,forward,0
91,10,red,None,None,None,None,forward,0
91,11,green,None,None,None,forward,forward,2
91,12,green,None,None,None,forward,forward,2
91,13,green,None,None,None,right,right,2
91,14,green,None,None,None,forward,forward,2
91,15,red,None,None,None,None,forward,0
91,16,green,None,None,None,forward,forward,2
91,17,green,None,None,None,forward,forward,12
92,1,red,None,None,None,right,right,2
92,2,green,None,None,None,forward,forward,2
92,3,red,None,None,None,None,forward,0
92,4,green,None,None,None,forward,forward,2
92,5,red,None,None,None,None,forward,0
92,6,red,None,None,right,None,forward,0
92,7,green,None,None,None,forward,forward,2
92,8,green,None,None,None,right,left,-0.5
92,9,red,None,None,None,None,forward,0
92,10,green,None,None,None,forward,forward,2
92,11,green,None,None,None,forward,forward,2
92,12,green,None,None,None,forward,forward,12
93,1,green,None,None,None,forward,left,-0.5
93,2,green,None,None,None,forward,left,-0.5
93,3,green,None,None,None,None,left,0
93,4,red,None,None,None,None,left,0
93,5,red,None,None,None,None,left,0
93,6,red,None,None,None,None,left,0
93,7,green,None,None,None,None,left,0
93,8,green,None,None,None,None,left,0
93,9,green,None,None,None,None,left,0
93,10,red,None,None,None,None,left,0
93,11,red,None,None,None,None,left,0
93,12,red,None,None,None,None,left,0
93,13,green,None,None,None,None,left,0
93,14,green,None,None,None,None,left,0
93,15,green,None,None,None,None,left,0
93,16,red,None,None,None,None,left,0
93,17,red,None,None,None,None,left,0
93,18,red,None,None,None,None,left,0
93,19,green,None,None,None,None,left,0
93,20,green,None,None,None,None,left,0
93,21,green,None,None,None,None,left,0
94,1,green,None,None,None,forward,forward,2
94,2,red,None,None,None,None,forward,0
94,3,red,None,None,None,None,forward,0
94,4,green,None,None,None,forward,forward,2
94,5,red,None,None,None,None,forward,0
94,6,red,None,None,None,None,forward,0
94,7,red,None,None,None,None,forward,0
94,8,red,None,None,None,None,forward,0
94,9,green,None,None,None,forward,forward,2
94,10,red,None,None,None,None,forward,0
94,11,green,None,None,None,forward,forward,2
94,12,red,None,None,None,None,forward,0
94,13,red,None,None,None,None,forward,0
94,14,red,None,None,None,None,forward,0
94,15,red,None,None,None,None,forward,0
94,16,green,None,None,None,forward,forward,2
94,17,green,None,None,None,forward,forward,12
95,1,green,None,None,None,forward,forward,2
95,2,green,None,None,None,forward,forward,2
95,3,green,None,None,None,forward,forward,2
95,4,green,None,None,None,None,left,0
95,5,green,None,None,None,None,left,0
95,6,green,None,None,None,None,left,0
95,7,red,None,None,None,None,left,0
95,8,red,None,None,None,None,left,0
95,9,red,None,None,None,None,left,0
95,10,green,None,None,None,None,left,0
95,11,green,None,None,None,None,left,0
95,12,green,None,None,None,None,left,0
95,13,red,None,None,None,None,left,0
95,14,red,None,None,None,None,left,0
95,15,red,None,None,None,None,left,0
95,16,green,None,None,None,None,left,0
95,17,green,None,None,None,None,left,0
95,18,green,None,None,None,None,left,0
95,19,red,None,None,None,None,left,0
95,20,red,None,None,None,None,left,0
95,21,red,None,None,None,None,left,0
95,22,green,None,None,None,None,left,0
95,23,green,None,None,None,None,left,0
95,24,green,None,None,None,None,left,0
95,25,red,None,None,None,None,left,0
95,26,red,None,None,None,None,left,0
96,1,red,None,None,None,right,right,2
96,2,red,None,None,None,None,forward,0
96,3,red,None,None,None,None,forward,0
96,4,green,None,None,None,forward,forward,2
96,5,red,None,None,None,None,forward,0
96,6,red,None,None,None,None,forward,0
96,7,green,None,None,None,forward,forward,2
96,8,green,None,None,None,forward,forward,2
96,9,green,None,None,None,forward,forward,2
96,10,green,None,None,None,forward,forward,2
96,11,red,None,None,None,right,right,12
97,1,green,None,None,None,None,left,0
